idciudad,idpais,ciudad,activo
1,1,Agurain/Salvatierra,TRUE
2,1,Alegría-Dulantzi,TRUE
3,1,Amurrio,TRUE
4,1,Añana,TRUE
5,1,Aramaio,TRUE
6,1,Armiñón,TRUE
7,1,Arraia-Maeztu,TRUE
8,1,Arratzua-Ubarrundia,TRUE
9,1,Artziniega,TRUE
10,1,Asparrena,TRUE
11,1,Ayala/Aiara,TRUE
12,1,Baños de Ebro/Mañueta,TRUE
13,1,Barrundia,TRUE
14,1,Berantevilla,TRUE
15,1,Bernedo,TRUE
16,1,Campezo/Kanpezu,TRUE
17,1,Elburgo/Burgelu,TRUE
18,1,Elciego,TRUE
19,1,Elvillar/Bilar,TRUE
20,1,Erriberagoitia/Ribera Alta,TRUE
21,1,Harana/Valle de Arana,TRUE
22,1,Iruña Oka/Iruña de Oca,TRUE
23,1,Iruraiz-Gauna,TRUE
24,1,Kripan,TRUE
25,1,Kuartango,TRUE
26,1,Labastida/Bastida,TRUE
27,1,Lagrán,TRUE
28,1,Laguardia,TRUE
29,1,Lanciego/Lantziego,TRUE
30,1,Lantarón,TRUE
31,1,Lapuebla de Labarca,TRUE
32,1,Laudio/Llodio,TRUE
33,1,Legutio,TRUE
34,1,Leza,TRUE
35,1,Moreda de Álava/Moreda Araba,TRUE
36,1,Navaridas,TRUE
37,1,Okondo,TRUE
38,1,Oyón-Oion,TRUE
39,1,Peñacerrada-Urizaharra,TRUE
40,1,Ribera Baja/Erriberabeitia,TRUE
41,1,Samaniego,TRUE
42,1,San Millán/Donemiliaga,TRUE
43,1,Urkabustaiz,TRUE
44,1,Valdegovía/Gaubea,TRUE
45,1,Villabuena de Álava/Eskuernaga,TRUE
46,1,Vitoria-Gasteiz,TRUE
47,1,Yécora/Iekora,TRUE
48,1,Zalduondo,TRUE
49,1,Zambrana,TRUE
50,1,Zigoitia,TRUE
51,1,Zuia,TRUE
52,1,Abengibre,TRUE
53,1,Alatoz,TRUE
54,1,Albacete,TRUE
55,1,Albatana,TRUE
56,1,Alborea,TRUE
57,1,Alcadozo,TRUE
58,1,Alcalá del Júcar,TRUE
59,1,Alcaraz,TRUE
60,1,Almansa,TRUE
61,1,Alpera,TRUE
62,1,Ayna,TRUE
63,1,Balazote,TRUE
64,1,"Ballestero, El",TRUE
65,1,Balsa de Ves,TRUE
66,1,Barrax,TRUE
67,1,Bienservida,TRUE
68,1,Bogarra,TRUE
69,1,Bonete,TRUE
70,1,"Bonillo, El",TRUE
71,1,Carcelén,TRUE
72,1,Casas de Juan Núñez,TRUE
73,1,Casas de Lázaro,TRUE
74,1,Casas de Ves,TRUE
75,1,Casas-Ibáñez,TRUE
76,1,Caudete,TRUE
77,1,Cenizate,TRUE
78,1,Chinchilla de Monte-Aragón,TRUE
79,1,Corral-Rubio,TRUE
80,1,Cotillas,TRUE
81,1,Elche de la Sierra,TRUE
82,1,Férez,TRUE
83,1,Fuensanta,TRUE
84,1,Fuente-Álamo,TRUE
85,1,Fuentealbilla,TRUE
86,1,"Gineta, La",TRUE
87,1,Golosalvo,TRUE
88,1,Hellín,TRUE
89,1,"Herrera, La",TRUE
90,1,Higueruela,TRUE
91,1,Hoya-Gonzalo,TRUE
92,1,Jorquera,TRUE
93,1,Letur,TRUE
94,1,Lezuza,TRUE
95,1,Liétor,TRUE
96,1,Madrigueras,TRUE
97,1,Mahora,TRUE
98,1,Masegoso,TRUE
99,1,Minaya,TRUE
100,1,Molinicos,TRUE
101,1,Montalvos,TRUE
102,1,Montealegre del Castillo,TRUE
103,1,Motilleja,TRUE
104,1,Munera,TRUE
105,1,Navas de Jorquera,TRUE
106,1,Nerpio,TRUE
107,1,Ontur,TRUE
108,1,Ossa de Montiel,TRUE
109,1,Paterna del Madera,TRUE
110,1,Peñas de San Pedro,TRUE
111,1,Peñascosa,TRUE
112,1,Pétrola,TRUE
113,1,Povedilla,TRUE
114,1,Pozo Cañada,TRUE
115,1,Pozohondo,TRUE
116,1,Pozo-Lorente,TRUE
117,1,Pozuelo,TRUE
118,1,"Recueja, La",TRUE
119,1,Riópar,TRUE
120,1,Robledo,TRUE
