idciudad,idpais,ciudad,activo
8133,2,New York-NY,TRUE
8134,2,Los Angeles-CA,TRUE
8135,2,Chicago-IL,TRUE
8136,2,Miami-FL,TRUE
8137,2,Houston-TX,TRUE
8138,2,Dallas-TX,TRUE
8139,2,Philadelphia-PA,TRUE
8140,2,Atlanta-GA,TRUE
8141,2,Washington-DC,TRUE
8142,2,Boston-MA,TRUE
8143,2,Phoenix-AZ,TRUE
8144,2,Detroit-MI,TRUE
8145,2,Seattle-WA,TRUE
8146,2,San Francisco-CA,TRUE
8147,2,San Diego-CA,TRUE
8148,2,Minneapolis-MN,TRUE
8149,2,Tampa-FL,TRUE
8150,2,Brooklyn-NY,TRUE
8151,2,Denver-CO,TRUE
8152,2,Queens-NY,TRUE
8153,2,Riverside-CA,TRUE
8154,2,Las Vegas-NV,TRUE
8155,2,Baltimore-MD,TRUE
8156,2,St. Louis-MO,TRUE
8157,2,Portland-OR,TRUE
8158,2,San Antonio-TX,TRUE
8159,2,Sacramento-CA,TRUE
8160,2,Austin-TX,TRUE
8161,2,Orlando-FL,TRUE
8162,2,San Juan-PR,TRUE
8163,2,San Jose-CA,TRUE
8164,2,Indianapolis-IN,TRUE
8165,2,Pittsburgh-PA,TRUE
8166,2,Cincinnati-OH,TRUE
8167,2,Manhattan-NY,TRUE
8168,2,Kansas City-MO,TRUE
8169,2,Cleveland-OH,TRUE
8170,2,Columbus-OH,TRUE
8171,2,Bronx-NY,TRUE
8172,2,Charlotte-NC,TRUE
8173,2,Virginia Beach-VA,TRUE
8174,2,Jacksonville-FL,TRUE
8175,2,Milwaukee-WI,TRUE
8176,2,Providence-RI,TRUE
8177,2,Nashville-TN,TRUE
8178,2,Salt Lake City-UT,TRUE
8179,2,Raleigh-NC,TRUE
8180,2,Richmond-VA,TRUE
8181,2,Memphis-TN,TRUE
8182,2,Oklahoma City-OK,TRUE
8183,2,Hartford-CT,TRUE
8184,2,Louisville-KY,TRUE
8185,2,Buffalo-NY,TRUE
8186,2,Fort Worth-TX,TRUE
8187,2,Bridgeport-CT,TRUE
8188,2,New Orleans-LA,TRUE
8189,2,Tucson-AZ,TRUE
8190,2,El Paso-TX,TRUE
8191,2,Omaha-NE,TRUE
8192,2,McAllen-TX,TRUE
8193,2,Birmingham-AL,TRUE
8194,2,Albuquerque-NM,TRUE
8195,2,Tulsa-OK,TRUE
8196,2,Charleston-SC,TRUE
8197,2,Fresno-CA,TRUE
8198,2,Rochester-NY,TRUE
8199,2,Dayton-OH,TRUE
8200,2,Cape Coral-FL,TRUE
8201,2,Provo-UT,TRUE
8202,2,Colorado Springs-CO,TRUE
8203,2,Mission Viejo-CA,TRUE
8204,2,Allentown-PA,TRUE
8205,2,Baton Rouge-LA,TRUE
8206,2,Ogden-UT,TRUE
8207,2,Knoxville-TN,TRUE
8208,2,Grand Rapids-MI,TRUE
8209,2,Columbia-SC,TRUE
8210,2,Albany-NY,TRUE
8211,2,Bakersfield-CA,TRUE
8212,2,New Haven-CT,TRUE
8213,2,Des Moines-IA,TRUE
8214,2,Palm Bay-FL,TRUE
8215,2,Akron-OH,TRUE
8216,2,Concord-CA,TRUE
8217,2,Mesa-AZ,TRUE
8218,2,Wichita-KS,TRUE
8219,2,Harrisburg-PA,TRUE
8220,2,Staten Island-NY,TRUE
8221,2,Toledo-OH,TRUE
8222,2,Worcester-MA,TRUE
8223,2,Port St. Lucie-FL,TRUE
8224,2,Little Rock-AR,TRUE
8225,2,Madison-WI,TRUE
8226,2,Spokane-WA,TRUE
8227,2,Long Beach-CA,TRUE
8228,2,Denton-TX,TRUE
8229,2,Reno-NV,TRUE
8230,2,Boise-ID,TRUE
8231,2,Bonita Springs-FL,TRUE
8232,2,Kissimmee-FL,TRUE
8233,2,Augusta-GA,TRUE
8234,2,Springfield-MA,TRUE
8235,2,Oakland-CA,TRUE
8236,2,Winston-Salem-NC,TRUE
8237,2,Stockton-CA,TRUE
8238,2,Durham-NC,TRUE
8239,2,Chattanooga-TN,TRUE
8240,2,Greenville-SC,TRUE
8241,2,Lancaster-PA,TRUE
8242,2,Syracuse-NY,TRUE
8243,2,Fayetteville-AR,TRUE
8244,2,Pensacola-FL,TRUE
8245,2,Arlington-TX,TRUE
8246,2,Aurora-CO,TRUE
8247,2,Scranton-PA,TRUE
8248,2,Oxnard-CA,TRUE
8249,2,Indio-CA,TRUE
8250,2,Victorville-CA,TRUE
8251,2,Trenton-NJ,TRUE
8252,2,Huntsville-AL,TRUE
8253,2,Modesto-CA,TRUE
8254,2,Honolulu-HI,TRUE
8255,2,Greensboro-NC,TRUE
8256,2,Fort Wayne-IN,TRUE
8257,2,Anaheim-CA,TRUE
8258,2,Corpus Christi-TX,TRUE
8259,2,Fort Collins-CO,TRUE
8260,2,Antioch-CA,TRUE
8261,2,Jackson-MS,TRUE
8262,2,Fayetteville-NC,TRUE
8263,2,Myrtle Beach-SC,TRUE
8264,2,Henderson-NV,TRUE
8265,2,Mobile-AL,TRUE
8266,2,Lexington-KY,TRUE
8267,2,Lansing-MI,TRUE
8268,2,Savannah-GA,TRUE
8269,2,Youngstown-OH,TRUE
8270,2,Ann Arbor-MI,TRUE
8271,2,Santa Ana-CA,TRUE
8272,2,Irvine-CA,TRUE
8273,2,St. Paul-MN,TRUE
8274,2,Poughkeepsie-NY,TRUE
8275,2,Newark-NJ,TRUE
